"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-28","2019","03","28","","6.4","","-7.4","","-0.5","","18.5","","0.0","","","","","","3.3","","","","18","","54",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-29","2019","03","29","","5.2","","1.6","","3.4","","14.6","","0.0","","","","","","7.9","","","","18","","33",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-30","2019","03","30","","9.0","","-0.7","","4.2","","13.8","","0.0","","","","","","0.0","","","","14","","35",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-03-31","2019","03","31","","15.3","","3.0","","9.2","","8.8","","0.0","","","","","","10.1","","","","18","","59",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-01","2019","04","01","","3.0","","-3.5","","-0.3","","18.3","","0.0","","","","","","0.5","","","","28","","58",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-02","2019","04","02","","9.0","","-4.5","","2.3","","15.7","","0.0","","","","","","0.0","","","","23","","54",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-03","2019","04","03","","1.9","","-1.3","","0.3","","17.7","","0.0","","","","","","10.1","","","","36","","54",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-04","2019","04","04","","2.3","","-3.3","","-0.5","","18.5","","0.0","","","","","","0.2","","","","25","","76",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-05","2019","04","05","","5.4","","-5.1","","0.2","","17.8","","0.0","","","","","","0.0","","","","29","","55",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-06","2019","04","06","","8.2","","-0.9","","3.7","","14.3","","0.0","","","","","","2.2","","","","22","","42",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-07","2019","04","07","","10.6","","-3.2","","3.7","","14.3","","0.0","","","","","","0.0","","","","26","","42",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-08","2019","04","08","","-0.3","","-4.0","","-2.2","","20.2","","0.0","","","","","","0.0","","","","8","","39",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-09","2019","04","09","","1.0","","-5.0","","-2.0","","20.0","","0.0","","","","","","4.4","","","","5","","35",""
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-10","2019","04","10","","3.4","","-3.2","","0.1","","17.9","","0.0","","","","","","5.9","","","","","M","","M"
"-66.54","45.87","FREDERICTON INTL A","8101505","2019-04-11","2019","04","11","","11.1","","-2.6","","4.3","","13.7","","0.0","","","","","","1.2","","","","32","","37",""
